,MutationState
TCGA-A2-A0YG-01A,MUT
TCGA-C8-A12X-01A,WT
TCGA-A1-A0SH-01A,WT
TCGA-D8-A1XG-01A,WT
TCGA-BH-A0EA-01A,WT
TCGA-BH-A0BF-01A,MUT
TCGA-OL-A6VQ-01A,WT
TCGA-C8-A12N-01A,WT
TCGA-AR-A2LO-01A,WT
TCGA-AO-A12A-01A,WT
TCGA-B6-A0IE-01A,MUT
TCGA-BH-A0AV-01A,MUT
TCGA-S3-A6ZF-01A,WT
TCGA-BH-A1EW-01A,WT
TCGA-A8-A08G-01A,WT
TCGA-BH-A0DO-01B,WT
TCGA-EW-A1PE-01A,WT
TCGA-LL-A5YN-01A,WT
TCGA-E2-A56Z-01A,WT
TCGA-AO-A1KP-01A,WT
TCGA-BH-A18I-01A,WT
TCGA-LL-A50Y-01A,WT
TCGA-E2-A572-01A,WT
TCGA-AR-A2LL-01A,WT
TCGA-AC-A5XU-01A,MUT
TCGA-BH-A0H9-01A,WT
TCGA-BH-AB28-01A,WT
TCGA-AO-A03T-01A,WT
TCGA-E9-A22A-01A,WT
TCGA-AR-A1AU-01A,WT
TCGA-D8-A1XY-01A,WT
TCGA-W8-A86G-01A,WT
